range,ranging_attempt_count
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
6.11,3138
4.93,557
6.07,158
6.09,49
5.36,1382
5.40,50
4.04,1398
3.90,42
2.68,1182
2.69,770
2.73,661
1.84,745
1.95,103
1.88,103
1.87,50
2.29,157
2.13,104
2.25,49
2.74,158
3.39,103
2.98,50
3.30,859
3.34,319
3.36,1561
3.06,104
2.91,157
2.91,158
3.10,104
3.13,49
3.02,158
3.31,319
3.39,50
3.37,266
3.47,49
3.48,212
3.75,500
3.52,50
3.39,50
3.64,213
3.98,244
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
ranger failed to get distance
4.36,833
3.81,50
3.97,104
3.97,49
3.81,50
3.57,50
3.32,104
3.44,103
3.33,103
3.43,104
3.36,265
3.37,373
3.67,50
3.28,49
4.04,50
3.29,158
3.11,50
3.30,50
3.73,49
3.21,50
2.98,104
3.46,211
3.27,319
3.50,318
3.33,867
3.47,157
3.40,50
3.19,104
2.97,534
2.96,50
3.02,50
3.02,50
3.06,859
3.21,50
3.08,50
3.12,49
2.92,104
2.73,157
2.73,104
2.61,265
2.64,265
2.90,212
2.89,211
3.12,319
3.19,211
3.46,157
4.38,356
3.82,49
5.09,50
4.30,50
5.02,50
5.27,569
4.30,50
4.98,49
6.60,1663
5.94,103
5.86,50
5.68,50
5.79,50
6.31,535
8.19,464
6.41,271
6.30,104
6.54,265
6.55,858
7.03,211
6.00,658
5.95,103
5.99,104
5.77,535
5.60,158
6.28,50
5.90,104
5.65,103
6.01,426
5.49,212
5.35,319
5.35,103
5.22,50
5.17,50
4.90,104
5.19,103
5.18,50
4.71,104
4.69,751
4.92,50
4.75,158
5.02,50
5.83,212
ranger failed to get distance
5.66,583
5.15,418
5.60,239
5.29,50
5.04,50
5.19,104
5.04,752
4.85,318
4.98,49
5.65,266
4.81,103
5.09,49
4.79,374
4.97,104
5.15,265
5.74,50
6.40,158
5.57,50
5.33,266
5.42,50
5.94,50
5.85,103
5.87,536
6.09,212
6.18,103
6.05,49
6.94,1120
7.22,50
6.98,50
7.12,104
7.13,49
7.07,1623
7.50,50
7.67,320
6.79,212
6.70,50
6.72,104
6.69,104
6.65,49
6.62,50
6.53,104
6.79,104
5.92,587
5.70,374
5.66,50
5.46,212
5.20,449
5.19,50
5.00,103
4.89,50
