range,ranging_attempt_count,ranging_time_millisecond
1.72,481,495
1.57,536,552
1.54,591,608
1.45,103,107
1.34,158,164
1.53,266,275
1.55,265,274
1.20,482,496
1.23,374,386
1.13,50,53
1.41,590,607
1.93,157,163
1.93,50,53
2.03,104,108
1.16,752,774
1.63,860,885
1.57,49,52
1.56,50,53
1.63,104,108
1.63,374,386
1.63,104,108
1.58,157,163
1.57,104,108
1.86,860,885
1.66,374,386
1.53,104,108
1.61,49,52
1.70,104,108
1.93,157,163
1.98,50,53
2.02,969,997
1.40,374,386
1.18,157,163
1.38,374,386
1.33,104,108
1.07,266,275
1.14,266,275
1.08,49,52
0.70,483,497
0.63,481,495
0.77,482,496
0.67,158,164
0.64,50,53
0.86,104,108
0.92,427,440
1.14,265,274
1.11,50,53
0.97,50,53
0.89,104,108
0.97,482,496
1.07,266,275
1.04,49,52
1.00,50,53
0.95,50,53
0.96,104,108
0.96,536,552
0.63,158,164
0.61,50,53
0.71,158,164
0.68,50,53
0.87,266,275
0.95,158,164
1.09,266,275
1.19,50,53
1.54,482,496
1.96,49,52
1.61,266,275
2.25,860,885
2.36,537,553
2.33,50,53
2.30,50,53
2.16,482,496
1.95,698,718
1.75,589,606
1.72,104,108
1.75,265,274
2.30,374,386
2.13,536,552
1.69,536,552
1.56,104,108
1.76,482,496
1.58,157,163
1.53,104,108
1.85,1238,1273
2.02,158,164
1.80,590,607
1.75,50,53
1.72,158,164
1.54,50,53
1.57,158,164
1.53,104,108
1.53,49,52
1.49,104,108
1.78,535,551
1.34,483,497
1.33,49,52
1.43,50,53
1.47,158,164
1.46,50,53
1.73,50,53
2.04,266,274
1.77,428,441
1.58,320,330
1.55,483,497
-2.06,157,163
1.50,266,274
1.88,266,274
1.97,49,52
2.22,159,165
2.22,373,384
2.06,158,164
2.10,50,53
1.92,50,53
1.99,158,164
2.01,50,53
1.58,266,274
1.82,157,163
1.64,104,108
1.63,50,53
1.39,266,274
1.33,266,274
1.28,320,330
1.39,644,663
1.76,158,164
1.65,158,164
1.79,266,274
1.74,50,53
1.91,266,274
1.85,266,274
1.70,211,218
1.58,265,273
1.57,427,440
1.55,49,52
1.58,266,274
1.24,372,383
1.34,373,384
1.28,50,53
2.00,696,716
1.83,319,329
1.74,158,164
1.76,49,52
2.53,428,441
2.20,50,53
2.20,50,53
2.16,50,53
2.14,50,53
2.33,157,163
1.87,482,496
1.83,49,52
1.55,482,496
1.60,49,52
1.63,50,53
1.74,103,107
1.61,320,330
1.72,158,164
1.71,49,52
1.65,50,53
1.76,50,53
1.76,158,164
1.79,50,53
1.74,50,53
1.83,265,273
1.66,535,551
1.50,158,164
1.52,50,53
1.59,751,772
1.78,158,164
1.97,157,163
1.60,320,330
1.90,373,384
2.01,158,164
1.27,643,662
1.19,157,163
1.20,50,53
1.25,50,53
1.25,50,53
1.22,158,164
1.29,50,53
1.64,265,273
1.86,266,274
1.87,157,163
2.76,158,164
1.75,373,384
1.65,266,274
1.80,157,163
1.62,50,53
1.74,50,53
1.75,320,330
1.64,265,273
1.67,50,53
1.65,50,53
1.61,50,53
1.66,157,163
1.82,50,53
1.61,50,53
1.64,266,274
1.73,319,329
1.33,806,829
1.39,158,164
1.41,265,273
1.57,265,273
2.03,50,53
1.42,428,441
1.48,157,163
1.60,50,53
1.99,266,274
1.68,266,274
1.51,427,440
1.51,265,273
1.73,266,274
1.76,535,551
1.71,266,274
1.70,319,329
1.86,697,717
1.89,50,53
1.95,50,53
1.85,266,274
1.77,373,384
2.47,266,274
2.15,805,828
2.38,266,274
1.57,49,52
1.89,859,883
2.55,265,273
2.23,158,164
2.07,157,163
1.99,50,53
2.00,50,53
1.93,373,384
1.64,158,164
1.66,50,53
1.78,266,274
2.35,428,441
2.23,374,385
1.93,320,330
1.91,50,53
1.82,158,164
1.96,158,164
1.75,428,441
1.96,266,274
2.08,50,53
2.01,50,53
1.93,50,53
2.02,158,164
2.07,50,53
2.23,50,53
2.44,158,164
2.19,50,53
2.29,50,53
2.33,158,164
2.16,158,164
2.10,266,274
2.06,49,52
1.87,537,553
1.89,158,164
1.88,266,274
1.90,50,53
1.85,158,164
2.00,320,330
2.03,158,164
2.20,158,164
2.16,50,53
2.33,50,53
2.06,158,164
2.21,50,53
2.21,50,53
2.12,158,164
2.36,49,52
1.99,320,330
1.88,159,165
1.41,428,441
1.81,428,441
1.79,50,53
1.74,266,274
1.69,50,53
1.86,320,330
1.85,320,330
2.26,159,165
2.31,49,52
2.28,50,53
1.75,483,497
2.39,265,273
2.51,266,274
2.47,50,53
1.77,266,274
1.78,50,53
1.71,266,274
1.84,319,329
1.88,267,276
2.04,158,164
1.91,266,274
2.05,157,163
2.68,753,774
2.39,157,163
2.44,50,53
2.34,50,53
2.46,537,553
2.53,157,163
2.50,50,53
2.07,159,165
2.05,157,163
2.06,212,219
1.67,482,496
1.40,319,329
1.42,158,164
1.48,374,385
1.58,374,385
1.72,266,274
1.78,320,330
1.85,266,274
2.40,428,441
2.53,50,53
2.38,320,330
2.10,807,830
2.78,374,385
2.67,49,52
1.77,536,552
1.83,862,886
1.82,50,53
1.81,212,219
1.76,266,274
1.28,644,662
1.12,213,220
1.08,158,163
1.09,266,274
1.11,158,163
1.22,212,219
1.16,158,163
1.29,50,53
1.25,50,53
1.42,158,163
1.44,50,53
1.60,158,163
1.68,428,440
1.70,50,53
1.73,266,274
1.72,536,551
1.78,266,274
1.76,266,274
1.77,49,52
1.76,158,163
1.71,158,163
1.62,320,330
1.58,267,275
1.40,266,274
0.97,427,439
0.94,50,53
0.70,158,163
0.67,158,163
0.74,158,163
0.63,158,163
0.66,50,53
0.60,158,163
0.70,266,274
0.62,103,107
0.63,212,219
0.72,321,331
0.77,50,53
1.22,482,496
1.66,158,163
1.20,321,331
1.20,212,219
1.89,861,885
2.30,158,163
2.56,158,163
2.07,212,219
2.11,267,275
2.07,319,329
2.13,50,53
2.41,158,163
2.32,50,53
2.15,158,163
2.07,50,53
1.95,915,940
1.97,50,53
1.82,212,219
1.78,159,165
1.54,212,219
1.40,266,274
1.35,50,53
1.41,428,440
1.56,266,274
1.21,158,163
1.35,266,274
0.82,158,163
0.84,49,52
0.86,158,163
0.92,265,273
0.83,157,162
0.67,266,274
0.51,210,217
0.45,320,330
0.48,157,162
0.52,212,219
0.52,104,108
0.61,157,162
0.57,49,52
0.60,50,53
0.70,50,53
0.75,50,53
0.80,50,53
0.97,266,274
1.43,860,883
1.93,589,606
2.05,50,53
2.44,266,274
1.47,643,661
1.49,267,275
1.48,265,273
1.51,157,162
1.48,50,53
1.59,590,607
1.65,50,53
1.65,319,329
1.56,482,496
1.59,266,274
1.55,266,274
1.73,49,52
1.84,590,607
1.82,266,274
1.72,590,607
1.66,428,440
1.74,103,107
1.64,428,440
1.74,427,439
1.38,1616,1659
1.62,104,108
1.46,49,52
1.27,158,163
1.45,157,162
1.28,50,53
1.03,158,163
1.05,49,52
1.13,212,219
1.01,50,53
2.16,428,440
2.34,157,162
2.37,50,53
1.32,50,53
1.46,50,53
1.41,49,52
1.48,50,53
1.55,536,551
1.67,157,162
1.81,428,440
1.69,427,439
1.40,536,551
1.24,49,52
1.20,50,53
1.19,50,53
1.15,50,53
1.35,211,218
1.42,50,53
1.86,320,330
1.92,428,440
1.75,212,219
1.31,536,551
1.31,319,329
1.50,212,219
1.75,212,219
1.67,158,163
1.77,50,53
1.97,481,495
1.97,320,330
1.77,158,163
1.60,536,551
1.43,211,218
1.41,50,53
1.47,50,53
1.76,320,330
1.82,536,551
1.72,49,52
1.54,158,163
1.34,212,219
