range,ranging_attempt_count,ranging_time_millisecond
1.43,967,994
1.36,320,330
1.56,745,766
1.54,49,52
1.46,318,328
1.50,317,327
1.41,50,53
1.49,157,163
1.50,158,164
1.78,271,280
1.94,49,52
1.56,428,441
1.59,427,440
1.39,50,53
1.58,212,219
1.54,427,440
1.57,50,53
1.53,158,164
1.50,265,273
1.56,158,164
1.57,50,53
2.01,157,163
2.17,320,330
2.20,212,219
2.30,157,163
2.15,265,273
2.17,50,53
1.64,589,606
1.42,158,164
1.18,158,164
1.94,265,273
1.42,266,274
1.31,265,273
1.75,428,441
1.46,50,53
1.41,158,164
1.21,50,53
1.46,158,164
1.35,644,662
1.40,158,164
1.36,50,53
1.42,158,164
1.45,50,53
1.37,158,164
1.46,320,330
1.42,212,219
1.46,158,164
1.45,49,52
1.46,50,53
1.39,158,164
1.42,212,219
1.55,238,246
1.35,50,53
1.23,389,401
1.50,50,53
1.17,50,53
1.36,266,274
1.69,807,830
1.36,212,219
1.47,536,551
1.49,265,273
1.48,429,442
1.54,50,53
1.62,49,52
1.29,807,830
1.36,158,164
1.37,212,219
1.32,49,52
2.35,266,274
1.33,266,274
1.32,266,274
1.37,49,52
1.51,50,53
1.83,50,53
1.50,1347,1384
1.53,213,220
1.54,319,329
1.55,50,53
1.53,50,53
1.56,159,165
1.56,157,163
1.52,266,274
1.44,158,164
1.82,158,164
1.47,158,164
1.32,428,441
1.21,158,164
1.30,212,219
1.33,319,329
2.29,537,553
1.27,265,273
2.12,158,164
1.24,50,53
1.37,212,219
1.41,49,52
1.60,50,53
1.41,50,53
1.28,428,441
1.38,321,331
1.48,49,52
1.45,158,164
1.75,266,274
1.43,49,52
1.31,699,719
1.34,103,107
1.62,158,164
1.22,211,218
1.82,158,164
1.27,158,164
1.29,158,164
1.22,374,385
1.42,49,52
1.59,429,442
1.91,158,164
1.31,212,219
1.30,211,218
1.31,212,219
1.31,49,52
1.43,158,164
1.21,158,164
1.25,698,718
1.27,157,163
1.30,320,330
1.75,212,219
1.32,374,385
1.34,158,164
1.34,374,385
1.71,212,219
1.26,157,163
1.43,374,385
1.55,212,219
1.30,211,218
1.44,212,219
1.46,103,107
1.43,157,163
1.66,212,219
1.72,320,330
1.73,50,53
1.33,374,385
1.49,212,219
1.37,49,52
1.36,212,219
1.29,698,718
1.34,49,52
1.85,266,274
1.58,158,164
1.32,537,553
1.31,1369,1407
1.44,412,424
1.40,50,53
1.24,1564,1607
1.21,212,219
1.23,211,218
1.23,49,52
1.28,158,164
1.20,266,274
1.30,50,53
1.23,212,219
1.21,212,219
1.23,49,52
1.22,212,219
1.18,265,273
1.21,266,274
1.09,50,53
2.04,212,219
2.01,157,163
2.03,212,219
1.13,374,385
1.26,373,384
1.30,50,53
2.42,698,718
2.21,266,274
2.23,158,164
2.28,212,219
2.28,157,163
2.30,158,164
1.92,320,330
1.40,320,330
1.31,266,274
1.40,157,163
1.36,50,53
1.28,158,164
1.28,49,52
1.23,212,219
1.24,49,52
1.29,211,218
1.31,49,52
1.75,535,551
1.36,535,551
1.39,211,218
1.39,104,108
1.42,211,218
1.38,319,329
1.30,211,218
1.39,643,662
1.24,1285,1320
2.12,50,53
1.77,50,53
1.52,50,53
1.62,158,164
1.45,265,273
1.46,643,662
1.32,212,219
1.33,49,52
1.38,266,274
1.37,265,273
1.33,266,274
1.37,50,53
1.34,427,440
1.27,50,53
1.30,158,164
1.32,157,163
1.34,212,219
1.39,211,218
1.40,157,163
1.36,158,164
1.42,265,273
1.42,50,53
1.43,50,53
1.41,212,219
1.43,588,605
1.47,373,384
1.48,50,53
1.44,211,218
1.48,265,273
1.46,50,53
2.21,265,273
1.48,158,164
1.56,212,219
1.66,265,273
1.52,49,52
1.59,50,53
1.59,50,53
1.67,50,53
1.74,265,273
1.70,212,219
1.68,211,218
1.68,211,218
1.67,427,440
1.77,427,440
1.72,158,164
1.82,158,164
1.74,319,329
1.62,50,53
1.57,50,53
1.55,50,53
1.52,157,163
1.51,158,164
1.64,103,107
1.54,158,164
2.02,211,218
1.94,49,52
1.62,158,164
1.65,50,53
1.69,266,274
1.81,157,163
1.55,212,219
2.08,265,273
1.27,50,53
1.29,157,163
1.47,320,330
1.37,212,219
1.76,264,272
1.58,158,164
1.52,50,53
1.45,266,274
1.17,49,52
1.38,212,219
1.82,49,52
1.72,212,219
1.93,427,440
1.70,50,53
1.48,49,52
2.01,266,274
1.47,50,53
1.53,50,53
1.38,157,163
1.74,50,53
1.77,104,108
1.47,50,53
1.20,266,274
1.30,158,164
1.59,536,552
1.29,50,53
1.90,266,274
1.47,212,219
1.10,535,551
1.64,212,219
1.48,50,53
1.18,320,330
1.81,158,164
1.76,50,53
1.33,158,164
1.80,212,219
1.68,157,163
1.51,212,219
1.46,49,52
1.57,645,664
1.51,49,52
1.73,50,53
1.62,645,664
1.61,50,53
1.67,266,274
1.08,644,663
1.61,50,53
1.58,49,52
1.91,158,164
1.91,50,53
1.44,374,385
1.81,50,53
1.45,266,274
1.10,212,219
1.24,49,52
1.14,158,164
1.65,158,164
1.20,374,386
1.26,50,53
1.94,50,53
1.23,50,53
1.24,158,164
1.23,50,53
1.58,50,53
1.15,266,275
1.17,158,164
1.17,50,53
1.15,266,275
1.39,266,275
1.61,157,163
1.56,50,53
1.61,50,53
1.32,50,53
1.21,158,164
1.26,50,53
1.19,158,164
1.21,50,53
1.25,50,53
1.26,373,385
1.30,374,386
1.20,50,53
1.36,158,164
1.26,50,53
1.30,698,719
1.28,50,53
1.22,266,275
1.21,212,219
1.16,589,607
1.11,482,497
1.58,266,275
1.24,373,385
1.32,266,275
1.13,158,164
1.93,158,164
1.18,50,53
1.24,266,275
1.44,158,164
1.91,50,53
1.13,1183,1217
1.56,50,53
1.53,50,53
1.15,481,496
1.37,482,497
1.29,50,53
2.07,806,830
1.79,481,496
1.20,266,275
1.27,266,275
1.41,266,275
1.16,266,275
1.36,157,163
1.27,158,164
1.23,50,53
1.10,50,53
1.22,50,53
1.33,266,275
1.30,266,275
1.24,266,275
1.33,913,940
1.87,374,386
1.83,50,53
1.36,590,608
1.41,590,608
1.37,50,53
1.36,266,275
1.46,158,164
1.47,50,53
1.40,103,107
1.41,590,608
1.37,50,53
1.39,49,52
1.39,482,497
1.37,50,53
1.41,158,164
1.40,50,53
1.38,806,830
1.41,589,607
1.40,158,164
1.40,158,164
1.44,51,54
1.39,481,496
1.38,590,608
1.37,158,164
1.36,50,53
1.35,373,385
1.39,158,164
1.37,266,275
1.37,50,53
1.40,158,164
1.35,50,53
1.41,374,386
1.37,50,53
1.38,50,53
1.46,50,53
1.24,158,164
1.19,50,53
1.54,535,551
1.63,266,275
1.29,158,164
1.09,50,53
1.37,50,53
1.69,158,164
1.19,49,52
1.34,590,608
1.76,697,718
1.29,374,386
1.36,158,164
1.38,266,275
1.46,158,164
1.54,50,53
1.55,50,53
1.65,158,164
1.42,50,53
1.42,49,52
1.46,158,164
1.77,157,163
1.72,50,53
1.67,50,53
1.45,211,218
1.37,50,53
1.44,49,52
1.49,158,164
1.28,372,384
1.40,50,53
1.26,1020,1050
1.70,158,164
1.23,480,495
1.32,50,53
1.26,481,496
1.87,158,164
1.27,373,385
1.38,373,385
1.22,371,383
1.29,589,607
1.28,50,53
1.29,211,218
2.00,157,163
1.32,589,607
1.26,50,53
1.36,50,53
1.27,157,163
1.33,266,275
1.58,265,274
1.63,374,386
1.47,373,385
1.43,50,53
1.66,157,163
1.55,266,275
1.40,50,53
1.50,50,53
1.29,265,274
1.29,50,53
1.64,481,496
1.57,158,164
1.27,50,53
1.19,696,717
1.24,50,53
1.23,50,53
1.40,589,607
1.41,265,274
1.40,157,163
1.26,104,108
1.79,265,274
1.40,158,164
