3.07,266,274
2.86,427,440
2.68,212,219
3.03,265,273
3.13,587,604
3.05,967,994
3.18,533,548
3.07,212,219
3.06,265,273
2.99,49,52
3.08,266,274
3.04,265,273
3.02,158,164
3.08,266,274
3.08,211,218
3.15,105,109
3.02,266,274
3.45,428,441
3.13,482,496
3.06,212,219
2.94,157,162
3.04,50,53
2.91,50,53
3.00,50,53
3.16,50,53
3.20,50,53
3.15,158,164
3.16,50,53
3.09,212,219
3.06,806,829
3.13,50,53
3.09,212,219
3.05,265,273
3.10,212,219
3.10,158,164
3.05,265,273
3.17,158,164
3.13,212,219
3.51,103,107
3.09,158,164
3.10,266,274
3.17,266,274
3.17,50,53
3.11,157,163
3.05,158,164
3.12,212,219
3.14,158,164
3.15,158,164
3.10,158,164
3.16,158,164
3.12,266,274
3.10,49,52
3.11,158,164
3.09,266,274
3.15,158,164
3.13,266,274
3.13,158,164
3.01,320,330
3.07,860,884
3.13,158,164
3.07,158,164
3.95,536,552
3.00,320,330
3.13,212,219
2.90,427,440
3.04,320,330
3.17,267,275
3.23,157,163
3.16,158,164
3.18,50,53
3.08,50,53
3.26,536,552
3.49,915,940
3.79,158,164
3.08,158,164
3.11,158,164
3.16,50,53
3.13,158,164
3.14,50,53
3.18,320,330
3.05,320,330
3.05,50,53
3.10,50,53
3.06,320,330
3.05,266,274
3.08,536,552
3.17,158,164
3.11,482,497
3.61,157,163
3.11,158,164
3.12,1400,1440
3.04,752,774
3.13,157,163
3.08,50,53
3.04,590,607
3.07,805,828
3.02,50,53
3.09,50,53
3.13,158,164
3.07,158,164
3.09,50,53
3.10,752,774
3.08,481,496
3.11,265,274
3.09,50,53
3.15,158,164
3.15,698,718
3.07,644,663
2.98,535,551
3.26,157,163
3.26,481,496
2.85,50,53
3.22,158,164
3.28,50,53
3.15,158,164
3.04,482,497
3.05,158,164
3.00,535,551
2.95,158,164
3.06,50,53
2.80,158,164
3.05,50,53
3.77,374,386
3.15,157,163
3.34,50,53
2.64,482,497
2.59,481,496
2.80,158,164
2.99,50,53
2.93,158,164
2.95,50,53
3.21,481,496
3.31,158,164
3.24,266,275
2.94,374,386
2.93,50,53
2.98,158,164
2.97,158,164
2.90,266,275
2.89,50,53
2.87,590,607
2.87,49,52
2.90,104,108
2.90,643,662
2.88,158,164
2.90,589,606
2.93,374,386
2.99,50,53
2.99,590,607
3.00,49,52
2.99,158,164
3.00,644,663
2.98,157,163
3.01,50,53
3.16,698,718
4.06,49,52
2.87,158,164
3.40,590,608
2.81,697,717
3.09,482,497
3.17,104,108
3.05,373,385
3.05,50,53
3.10,50,53
3.08,50,53
3.14,50,53
3.17,482,497
3.13,590,608
3.12,158,164
3.14,50,53
3.17,49,52
3.15,158,164
3.12,480,495
3.12,104,108
3.14,372,384
3.08,373,385
3.13,641,660
3.07,426,439
3.11,49,52
3.14,373,385
3.12,158,164
3.17,49,52
3.10,50,53
3.94,535,551
3.11,158,164
