range,ranging_attempt_count,ranging_time_millisecond
2.69,536,552
3.16,373,385
3.50,50,53
3.03,266,275
4.58,265,274
3.09,158,164
3.18,50,53
2.92,644,663
3.12,752,774
3.33,265,274
3.24,50,53
3.19,481,496
3.61,320,330
3.58,157,163
2.99,590,608
2.73,158,164
2.95,752,774
2.93,373,385
3.09,266,275
2.84,212,219
3.00,49,52
3.15,50,53
3.00,50,53
3.03,157,163
3.19,50,53
3.29,157,163
3.55,481,496
3.43,426,439
3.00,318,328
3.48,265,274
3.34,264,273
3.43,266,275
3.01,50,53
3.43,319,329
3.43,49,52
3.13,50,53
3.06,373,385
3.37,266,275
3.27,157,163
3.32,158,164
3.15,266,275
3.31,49,52
3.07,158,164
3.32,50,53
3.19,50,53
3.27,319,329
3.19,264,273
2.92,50,53
3.31,266,275
3.30,265,274
3.42,158,164
3.50,50,53
3.46,265,274
3.28,50,53
3.35,50,53
3.32,588,606
3.00,374,386
4.59,103,107
2.93,50,53
2.75,158,164
3.29,265,274
3.22,157,163
2.86,266,275
2.70,858,883
2.97,50,53
3.07,427,440
3.27,320,330
2.94,49,52
3.04,428,441
3.34,158,164
3.11,319,329
3.13,373,384
2.82,211,218
3.04,49,52
3.31,50,53
2.98,50,53
3.04,158,164
2.93,481,495
2.84,805,828
3.45,49,52
3.28,374,385
2.83,373,384
3.34,157,163
3.03,266,275
3.09,49,52
2.99,212,219
3.10,427,440
2.77,50,53
2.89,805,828
2.90,319,329
3.06,157,163
3.49,212,219
3.05,211,218
3.19,481,495
3.19,211,218
3.05,319,329
3.07,966,993
3.18,481,495
2.88,805,828
3.14,49,52
2.64,2809,2886
3.03,1722,1770
4.83,50,53
3.28,263,271
2.56,535,551
2.47,319,329
2.64,265,274
2.55,158,164
3.28,211,218
2.84,158,164
2.77,266,275
2.71,320,330
2.54,535,551
2.53,50,53
2.82,50,53
2.50,50,53
3.00,752,774
2.98,158,164
3.03,50,53
2.79,210,217
